"sampledate","daynum","year","Genus","CellBioVol"
1997-01-14,14,1997,"Chroococcus cf. kidneys",0
1997-01-14,14,1997,"Cosmarium",0
1997-01-14,14,1997,"Planktothrix",0
1997-01-14,14,1997,"Small Chroococcus",0
1997-01-14,14,1997,"Long thin rod",0
1997-01-14,14,1997,"Aphanothece bacilloidea",0
1997-01-14,14,1997,"Limnothrix",0
1997-01-14,14,1997,"Microcystis",0
1997-01-14,14,1997,"Peanut",0
1997-01-14,14,1997,"Lindavia",113.0973355
1997-01-14,14,1997,"other",0
1997-01-14,14,1997,"Cyclostephanos",0
1997-01-14,14,1997,"Naked Dinoflagellate",0
1997-01-14,14,1997,"Cryptomonad",0
1997-01-14,14,1997,"Cf. Komvophoron / Trichormus",0
1997-01-14,14,1997,"Cf. Planktolyngabia",0
1997-01-14,14,1997,"Cocconeis",0
1997-01-14,14,1997,"Rhoicosphenia",0
1997-01-14,14,1997,"Armored Dinoflagellate",0
1997-01-14,14,1997,"Sellaphora",0
1997-01-14,14,1997,"Diatoma mesodon",0
1997-01-14,14,1997,"Navicula",0
1997-01-14,14,1997,"Dinobryon",0
1997-01-14,14,1997,"Elakatothrix",0
1997-01-14,14,1997,"Nostoc",0
1997-01-14,14,1997,"NA",0
1997-01-14,14,1997,"Cyanobacteria",0
1997-01-14,14,1997,"Fragilaria",0
1997-01-14,14,1997,"Asterionella",0
1997-01-14,14,1997,"Merismopedia",0
1997-01-14,14,1997,"Cf. Cavinula",0
1997-01-14,14,1997,"Diploneis",0
1997-01-14,14,1997,"Encyonema",0
1997-01-14,14,1997,"Asterocapsa",0
1997-01-14,14,1997,"Planothidium",0
1997-01-14,14,1997,"Hippodonta",0
1997-01-14,14,1997,"Cf. Coelosphaerium",0
1997-01-14,14,1997,"Tetraedron victoriae",0
1997-01-14,14,1997,"Placoneis",0
1997-01-14,14,1997,"Epithemia",0
1997-01-14,14,1997,"Euglena",0
1997-01-14,14,1997,"Flagellated Green",0
1997-01-14,14,1997,"Tabellaria",0
1997-01-14,14,1997,"Aulacoseira",0
1997-01-14,14,1997,"Stephanodiscus",0
1997-01-14,14,1997,"Pseudostaurosira",0
1997-01-14,14,1997,"Stauroforma",0
1997-01-14,14,1997,"Achnanthidium",0
1997-01-14,14,1997,"Segmented Green",0
1997-01-14,14,1997,"Gomphoneis",0
1997-01-14,14,1997,"Mallomonas",0
1997-01-14,14,1997,"Gloeocapsa",0
1997-01-14,14,1997,"Synura",0
1997-01-14,14,1997,"Nitzschia",0
1997-01-14,14,1997,"Cyclotella",0
1997-01-14,14,1997,"Discostella",0
1997-01-14,14,1997,"Anabaena",0
1997-01-14,14,1997,"Chroococcus",0
1997-01-14,14,1997,"Planktolyngabia",0
1997-01-14,14,1997,"Staurosira",0
1997-01-14,14,1997,"Chroococcus cf. kidneys",0
1997-01-14,14,1997,"Cosmarium",0
1997-01-14,14,1997,"Planktothrix",0
1997-01-14,14,1997,"Small Chroococcus",0
1997-01-14,14,1997,"Long thin rod",0
1997-01-14,14,1997,"Aphanothece bacilloidea",0
1997-01-14,14,1997,"Limnothrix",0
1997-01-14,14,1997,"Microcystis",0
1997-01-14,14,1997,"Peanut",0
1997-01-14,14,1997,"Lindavia",0
1997-01-14,14,1997,"other",1104.760206
1997-01-14,14,1997,"Cyclostephanos",0
1997-01-14,14,1997,"Naked Dinoflagellate",0
1997-01-14,14,1997,"Cryptomonad",0
1997-01-14,14,1997,"Cf. Komvophoron / Trichormus",0
1997-01-14,14,1997,"Cf. Planktolyngabia",0
1997-01-14,14,1997,"Cocconeis",0
1997-01-14,14,1997,"Rhoicosphenia",0
1997-01-14,14,1997,"Armored Dinoflagellate",0
1997-01-14,14,1997,"Sellaphora",0
1997-01-14,14,1997,"Diatoma mesodon",0
1997-01-14,14,1997,"Navicula",0
1997-01-14,14,1997,"Dinobryon",0
1997-01-14,14,1997,"Elakatothrix",0
1997-01-14,14,1997,"Nostoc",0
1997-01-14,14,1997,"NA",0
1997-01-14,14,1997,"Cyanobacteria",0
1997-01-14,14,1997,"Fragilaria",0
1997-01-14,14,1997,"Asterionella",0
1997-01-14,14,1997,"Merismopedia",0
1997-01-14,14,1997,"Cf. Cavinula",0
1997-01-14,14,1997,"Diploneis",0
1997-01-14,14,1997,"Encyonema",0
1997-01-14,14,1997,"Asterocapsa",0
1997-01-14,14,1997,"Planothidium",0
1997-01-14,14,1997,"Hippodonta",0
1997-01-14,14,1997,"Cf. Coelosphaerium",0
1997-01-14,14,1997,"Tetraedron victoriae",0
1997-01-14,14,1997,"Placoneis",0
1997-01-14,14,1997,"Epithemia",0
1997-01-14,14,1997,"Euglena",0
1997-01-14,14,1997,"Flagellated Green",0
1997-01-14,14,1997,"Tabellaria",0
1997-01-14,14,1997,"Aulacoseira",0
1997-01-14,14,1997,"Stephanodiscus",0
1997-01-14,14,1997,"Pseudostaurosira",0
1997-01-14,14,1997,"Stauroforma",0
1997-01-14,14,1997,"Achnanthidium",0
1997-01-14,14,1997,"Segmented Green",0
1997-01-14,14,1997,"Gomphoneis",0
1997-01-14,14,1997,"Mallomonas",0
1997-01-14,14,1997,"Gloeocapsa",0
1997-01-14,14,1997,"Synura",0
1997-01-14,14,1997,"Nitzschia",0
1997-01-14,14,1997,"Cyclotella",0
1997-01-14,14,1997,"Discostella",0
1997-01-14,14,1997,"Anabaena",0
1997-01-14,14,1997,"Chroococcus",0
1997-01-14,14,1997,"Planktolyngabia",0
1997-01-14,14,1997,"Staurosira",0
1997-01-14,14,1997,"Chroococcus cf. kidneys",0
1997-01-14,14,1997,"Cosmarium",0
1997-01-14,14,1997,"Planktothrix",0
1997-01-14,14,1997,"Small Chroococcus",0
1997-01-14,14,1997,"Long thin rod",0
1997-01-14,14,1997,"Aphanothece bacilloidea",0
1997-01-14,14,1997,"Limnothrix",0
1997-01-14,14,1997,"Microcystis",0
1997-01-14,14,1997,"Peanut",0
1997-01-14,14,1997,"Lindavia",0
1997-01-14,14,1997,"other",0
1997-01-14,14,1997,"Cyclostephanos",188.494
1997-01-14,14,1997,"Naked Dinoflagellate",0
1997-01-14,14,1997,"Cryptomonad",0
1997-01-14,14,1997,"Cf. Komvophoron / Trichormus",0
1997-01-14,14,1997,"Cf. Planktolyngabia",0
1997-01-14,14,1997,"Cocconeis",0
1997-01-14,14,1997,"Rhoicosphenia",0
1997-01-14,14,1997,"Armored Dinoflagellate",0
1997-01-14,14,1997,"Sellaphora",0
1997-01-14,14,1997,"Diatoma mesodon",0
1997-01-14,14,1997,"Navicula",0
1997-01-14,14,1997,"Dinobryon",0
1997-01-14,14,1997,"Elakatothrix",0
1997-01-14,14,1997,"Nostoc",0
1997-01-14,14,1997,"NA",0
1997-01-14,14,1997,"Cyanobacteria",0
1997-01-14,14,1997,"Fragilaria",0
1997-01-14,14,1997,"Asterionella",0
1997-01-14,14,1997,"Merismopedia",0
1997-01-14,14,1997,"Cf. Cavinula",0
1997-01-14,14,1997,"Diploneis",0
1997-01-14,14,1997,"Encyonema",0
1997-01-14,14,1997,"Asterocapsa",0
1997-01-14,14,1997,"Planothidium",0
1997-01-14,14,1997,"Hippodonta",0
1997-01-14,14,1997,"Cf. Coelosphaerium",0
1997-01-14,14,1997,"Tetraedron victoriae",0
1997-01-14,14,1997,"Placoneis",0
1997-01-14,14,1997,"Epithemia",0
1997-01-14,14,1997,"Euglena",0
1997-01-14,14,1997,"Flagellated Green",0
1997-01-14,14,1997,"Tabellaria",0
1997-01-14,14,1997,"Aulacoseira",0
1997-01-14,14,1997,"Stephanodiscus",0
1997-01-14,14,1997,"Pseudostaurosira",0
1997-01-14,14,1997,"Stauroforma",0
1997-01-14,14,1997,"Achnanthidium",0
1997-01-14,14,1997,"Segmented Green",0
1997-01-14,14,1997,"Gomphoneis",0
1997-01-14,14,1997,"Mallomonas",0
1997-01-14,14,1997,"Gloeocapsa",0
1997-01-14,14,1997,"Synura",0
1997-01-14,14,1997,"Nitzschia",0
1997-01-14,14,1997,"Cyclotella",0
1997-01-14,14,1997,"Discostella",0
1997-01-14,14,1997,"Anabaena",0
1997-01-14,14,1997,"Chroococcus",0
1997-01-14,14,1997,"Planktolyngabia",0
1997-01-14,14,1997,"Staurosira",0
1997-01-14,14,1997,"Chroococcus cf. kidneys",0
1997-01-14,14,1997,"Cosmarium",0
1997-01-14,14,1997,"Planktothrix",0
1997-01-14,14,1997,"Small Chroococcus",0
1997-01-14,14,1997,"Long thin rod",0
1997-01-14,14,1997,"Aphanothece bacilloidea",0
1997-01-14,14,1997,"Limnothrix",0
1997-01-14,14,1997,"Microcystis",0
1997-01-14,14,1997,"Peanut",0
1997-01-14,14,1997,"Lindavia",0
1997-01-14,14,1997,"other",0
1997-01-14,14,1997,"Cyclostephanos",0
1997-01-14,14,1997,"Naked Dinoflagellate",7003.540037
1997-01-14,14,1997,"Cryptomonad",0
1997-01-14,14,1997,"Cf. Komvophoron / Trichormus",0
1997-01-14,14,1997,"Cf. Planktolyngabia",0
1997-01-14,14,1997,"Cocconeis",0
1997-01-14,14,1997,"Rhoicosphenia",0
1997-01-14,14,1997,"Armored Dinoflagellate",0
1997-01-14,14,1997,"Sellaphora",0
1997-01-14,14,1997,"Diatoma mesodon",0
1997-01-14,14,1997,"Navicula",0
1997-01-14,14,1997,"Dinobryon",0
1997-01-14,14,1997,"Elakatothrix",0
1997-01-14,14,1997,"Nostoc",0
1997-01-14,14,1997,"NA",0
1997-01-14,14,1997,"Cyanobacteria",0
1997-01-14,14,1997,"Fragilaria",0
1997-01-14,14,1997,"Asterionella",0
1997-01-14,14,1997,"Merismopedia",0
1997-01-14,14,1997,"Cf. Cavinula",0
1997-01-14,14,1997,"Diploneis",0
1997-01-14,14,1997,"Encyonema",0
1997-01-14,14,1997,"Asterocapsa",0
1997-01-14,14,1997,"Planothidium",0
1997-01-14,14,1997,"Hippodonta",0
1997-01-14,14,1997,"Cf. Coelosphaerium",0
1997-01-14,14,1997,"Tetraedron victoriae",0
1997-01-14,14,1997,"Placoneis",0
1997-01-14,14,1997,"Epithemia",0
1997-01-14,14,1997,"Euglena",0
1997-01-14,14,1997,"Flagellated Green",0
1997-01-14,14,1997,"Tabellaria",0
1997-01-14,14,1997,"Aulacoseira",0
1997-01-14,14,1997,"Stephanodiscus",0
1997-01-14,14,1997,"Pseudostaurosira",0
1997-01-14,14,1997,"Stauroforma",0
1997-01-14,14,1997,"Achnanthidium",0
1997-01-14,14,1997,"Segmented Green",0
1997-01-14,14,1997,"Gomphoneis",0
1997-01-14,14,1997,"Mallomonas",0
1997-01-14,14,1997,"Gloeocapsa",0
1997-01-14,14,1997,"Synura",0
1997-01-14,14,1997,"Nitzschia",0
1997-01-14,14,1997,"Cyclotella",0
1997-01-14,14,1997,"Discostella",0
1997-01-14,14,1997,"Anabaena",0
1997-01-14,14,1997,"Chroococcus",0
1997-01-14,14,1997,"Planktolyngabia",0
1997-01-14,14,1997,"Staurosira",0
1997-01-14,14,1997,"Chroococcus cf. kidneys",0
1997-01-14,14,1997,"Cosmarium",0
1997-01-14,14,1997,"Planktothrix",0
1997-01-14,14,1997,"Small Chroococcus",0
1997-01-14,14,1997,"Long thin rod",0
1997-01-14,14,1997,"Aphanothece bacilloidea",0
1997-01-14,14,1997,"Limnothrix",0
1997-01-14,14,1997,"Microcystis",0
1997-01-14,14,1997,"Peanut",0
1997-01-14,14,1997,"Lindavia",0
1997-01-14,14,1997,"other",0
1997-01-14,14,1997,"Cyclostephanos",0
1997-01-14,14,1997,"Naked Dinoflagellate",0
1997-01-14,14,1997,"Cryptomonad",976.177
1997-01-14,14,1997,"Cf. Komvophoron / Trichormus",0
1997-01-14,14,1997,"Cf. Planktolyngabia",0
1997-01-14,14,1997,"Cocconeis",0
1997-01-14,14,1997,"Rhoicosphenia",0
1997-01-14,14,1997,"Armored Dinoflagellate",0
1997-01-14,14,1997,"Sellaphora",0
1997-01-14,14,1997,"Diatoma mesodon",0
1997-01-14,14,1997,"Navicula",0
1997-01-14,14,1997,"Dinobryon",0
1997-01-14,14,1997,"Elakatothrix",0
1997-01-14,14,1997,"Nostoc",0
1997-01-14,14,1997,"NA",0
1997-01-14,14,1997,"Cyanobacteria",0
1997-01-14,14,1997,"Fragilaria",0
1997-01-14,14,1997,"Asterionella",0
1997-01-14,14,1997,"Merismopedia",0
1997-01-14,14,1997,"Cf. Cavinula",0
1997-01-14,14,1997,"Diploneis",0
1997-01-14,14,1997,"Encyonema",0
1997-01-14,14,1997,"Asterocapsa",0
1997-01-14,14,1997,"Planothidium",0
1997-01-14,14,1997,"Hippodonta",0
1997-01-14,14,1997,"Cf. Coelosphaerium",0
1997-01-14,14,1997,"Tetraedron victoriae",0
1997-01-14,14,1997,"Placoneis",0
1997-01-14,14,1997,"Epithemia",0
1997-01-14,14,1997,"Euglena",0
1997-01-14,14,1997,"Flagellated Green",0
1997-01-14,14,1997,"Tabellaria",0
1997-01-14,14,1997,"Aulacoseira",0
1997-01-14,14,1997,"Stephanodiscus",0
1997-01-14,14,1997,"Pseudostaurosira",0
1997-01-14,14,1997,"Stauroforma",0
1997-01-14,14,1997,"Achnanthidium",0
1997-01-14,14,1997,"Segmented Green",0
1997-01-14,14,1997,"Gomphoneis",0
1997-01-14,14,1997,"Mallomonas",0
1997-01-14,14,1997,"Gloeocapsa",0
1997-01-14,14,1997,"Synura",0
1997-01-14,14,1997,"Nitzschia",0
1997-01-14,14,1997,"Cyclotella",0
1997-01-14,14,1997,"Discostella",0
1997-01-14,14,1997,"Anabaena",0
1997-01-14,14,1997,"Chroococcus",0
1997-01-14,14,1997,"Planktolyngabia",0
1997-01-14,14,1997,"Staurosira",0
1997-01-14,14,1997,"Chroococcus cf. kidneys",0
1997-01-14,14,1997,"Cosmarium",0
1997-01-14,14,1997,"Planktothrix",0
1997-01-14,14,1997,"Small Chroococcus",0
1997-01-14,14,1997,"Long thin rod",0
1997-01-14,14,1997,"Aphanothece bacilloidea",0
1997-01-14,14,1997,"Limnothrix",0
1997-01-14,14,1997,"Microcystis",0
1997-01-14,14,1997,"Peanut",0
1997-01-14,14,1997,"Lindavia",0
1997-01-14,14,1997,"other",0
1997-01-14,14,1997,"Cyclostephanos",0
1997-01-14,14,1997,"Naked Dinoflagellate",0
1997-01-14,14,1997,"Cryptomonad",0
1997-01-14,14,1997,"Cf. Komvophoron / Trichormus",1242.168395
1997-01-14,14,1997,"Cf. Planktolyngabia",0
1997-01-14,14,1997,"Cocconeis",0
1997-01-14,14,1997,"Rhoicosphenia",0
1997-01-14,14,1997,"Armored Dinoflagellate",0
1997-01-14,14,1997,"Sellaphora",0
1997-01-14,14,1997,"Diatoma mesodon",0
1997-01-14,14,1997,"Navicula",0
1997-01-14,14,1997,"Dinobryon",0
1997-01-14,14,1997,"Elakatothrix",0
1997-01-14,14,1997,"Nostoc",0
1997-01-14,14,1997,"NA",0
1997-01-14,14,1997,"Cyanobacteria",0
1997-01-14,14,1997,"Fragilaria",0
1997-01-14,14,1997,"Asterionella",0
1997-01-14,14,1997,"Merismopedia",0
1997-01-14,14,1997,"Cf. Cavinula",0
1997-01-14,14,1997,"Diploneis",0
1997-01-14,14,1997,"Encyonema",0
1997-01-14,14,1997,"Asterocapsa",0
1997-01-14,14,1997,"Planothidium",0
1997-01-14,14,1997,"Hippodonta",0
1997-01-14,14,1997,"Cf. Coelosphaerium",0
1997-01-14,14,1997,"Tetraedron victoriae",0
1997-01-14,14,1997,"Placoneis",0
1997-01-14,14,1997,"Epithemia",0
1997-01-14,14,1997,"Euglena",0
1997-01-14,14,1997,"Flagellated Green",0
1997-01-14,14,1997,"Tabellaria",0
1997-01-14,14,1997,"Aulacoseira",0
1997-01-14,14,1997,"Stephanodiscus",0
1997-01-14,14,1997,"Pseudostaurosira",0
1997-01-14,14,1997,"Stauroforma",0
1997-01-14,14,1997,"Achnanthidium",0
1997-01-14,14,1997,"Segmented Green",0
1997-01-14,14,1997,"Gomphoneis",0
1997-01-14,14,1997,"Mallomonas",0
1997-01-14,14,1997,"Gloeocapsa",0
1997-01-14,14,1997,"Synura",0
1997-01-14,14,1997,"Nitzschia",0
1997-01-14,14,1997,"Cyclotella",0
1997-01-14,14,1997,"Discostella",0
1997-01-14,14,1997,"Anabaena",0
1997-01-14,14,1997,"Chroococcus",0
1997-01-14,14,1997,"Planktolyngabia",0
1997-01-14,14,1997,"Staurosira",0
1997-01-14,14,1997,"Chroococcus cf. kidneys",0
1997-01-14,14,1997,"Cosmarium",0
1997-01-14,14,1997,"Planktothrix",0
1997-01-14,14,1997,"Small Chroococcus",0
1997-01-14,14,1997,"Long thin rod",0
1997-01-14,14,1997,"Aphanothece bacilloidea",0
1997-02-17,48,1997,"Limnothrix",1292.194559
1997-02-17,48,1997,"Microcystis",0
1997-02-17,48,1997,"Peanut",0
1997-02-17,48,1997,"Lindavia",0
1997-02-17,48,1997,"other",0
1997-02-17,48,1997,"Cyclostephanos",0
1997-02-17,48,1997,"Naked Dinoflagellate",0
1997-02-17,48,1997,"Cryptomonad",0
1997-02-17,48,1997,"Cf. Komvophoron / Trichormus",0
1997-02-17,48,1997,"Cf. Planktolyngabia",0
1997-02-17,48,1997,"Cocconeis",0
1997-02-17,48,1997,"Rhoicosphenia",0
1997-02-17,48,1997,"Armored Dinoflagellate",0
1997-02-17,48,1997,"Sellaphora",0
1997-02-17,48,1997,"Diatoma mesodon",0
1997-02-17,48,1997,"Navicula",0
1997-02-17,48,1997,"Dinobryon",0
1997-02-17,48,1997,"Elakatothrix",0
1997-02-17,48,1997,"Nostoc",0
1997-02-17,48,1997,"NA",0
1997-02-17,48,1997,"Cyanobacteria",0
1997-02-17,48,1997,"Fragilaria",0
1997-02-17,48,1997,"Asterionella",0
1997-02-17,48,1997,"Merismopedia",0
1997-02-17,48,1997,"Cf. Cavinula",0
1997-02-17,48,1997,"Diploneis",0
1997-02-17,48,1997,"Encyonema",0
1997-02-17,48,1997,"Asterocapsa",0
1997-02-17,48,1997,"Planothidium",0
1997-02-17,48,1997,"Hippodonta",0
1997-02-17,48,1997,"Cf. Coelosphaerium",0
1997-02-17,48,1997,"Tetraedron victoriae",0
1997-02-17,48,1997,"Placoneis",0
1997-02-17,48,1997,"Epithemia",0
1997-02-17,48,1997,"Euglena",0
1997-02-17,48,1997,"Flagellated Green",0
1997-02-17,48,1997,"Tabellaria",0
1997-02-17,48,1997,"Aulacoseira",0
1997-02-17,48,1997,"Stephanodiscus",0
1997-02-17,48,1997,"Pseudostaurosira",0
1997-02-17,48,1997,"Stauroforma",0
1997-02-17,48,1997,"Achnanthidium",0
1997-02-17,48,1997,"Segmented Green",0
1997-02-17,48,1997,"Gomphoneis",0
1997-02-17,48,1997,"Mallomonas",0
1997-02-17,48,1997,"Gloeocapsa",0
1997-02-17,48,1997,"Synura",0
1997-02-17,48,1997,"Nitzschia",0
1997-02-17,48,1997,"Cyclotella",0
1997-02-17,48,1997,"Discostella",0
1997-02-17,48,1997,"Anabaena",0
1997-02-17,48,1997,"Chroococcus",0
1997-02-17,48,1997,"Planktolyngabia",0
1997-02-17,48,1997,"Staurosira",0
1997-02-17,48,1997,"Chroococcus cf. kidneys",0
1997-02-17,48,1997,"Cosmarium",0
1997-02-17,48,1997,"Planktothrix",0
1997-02-17,48,1997,"Small Chroococcus",0
1997-02-17,48,1997,"Long thin rod",0
1997-02-17,48,1997,"Aphanothece bacilloidea",0
1997-02-17,48,1997,"Limnothrix",0
1997-02-17,48,1997,"Microcystis",369.3055543
1997-02-17,48,1997,"Peanut",0
1997-02-17,48,1997,"Lindavia",0
1997-02-17,48,1997,"other",0
1997-02-17,48,1997,"Cyclostephanos",0
1997-02-17,48,1997,"Naked Dinoflagellate",0
1997-02-17,48,1997,"Cryptomonad",0
1997-02-17,48,1997,"Cf. Komvophoron / Trichormus",0
